Disease,Description
Fungal infection,"Fungal infection is a common skin condition caused by fungi."
Bacterial infection,"Bacterial infection is an invasion of the body by harmful bacteria."
Viral infection,"Viral infection is an invasion of the body by harmful viruses."
Chronic respiratory disease,"Chronic respiratory disease refers to long-term conditions affecting the airways and lungs."
Cardiovascular disease,"Cardiovascular disease refers to a group of disorders affecting the heart and blood vessels."
Cancer,"Cancer is a disease in which abnormal cells divide uncontrollably and destroy body tissue."
Tuberculosis (TB),"Tuberculosis is a bacterial infection that primarily affects the lungs but can also affect other parts of the body."
HIV,"Human Immunodeficiency Virus (HIV) is a virus that attacks the immune system."
Hepatitis,"Inflammation of the liver."
Allergy,"Allergy is an immune system reaction to a substance in the environment."
GERD,"GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter."
Chronic cholestasis,"Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period."
Drug Reaction,"Drug Reaction occurs when the body reacts adversely to a medication."
Peptic ulcer disease,"Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine."
AIDS,"AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system."
Diabetes,"Diabetes is a chronic condition that affects how the body processes blood sugar."
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
Bronchial Asthma,"Bronchial Asthma is a respiratory condition characterized by inflammation of the airways."
Hypertension,"Hypertension, or high blood pressure, is a common cardiovascular condition."
Migraine,"Migraine is a type of headache that often involves severe pain and sensitivity to light and sound."
Cervical spondylosis,"Cervical spondylosis is a degenerative condition of the cervical spine."
Paralysis (brain hemorrhage),"Paralysis (brain hemorrhage) refers to the loss of muscle function due to bleeding in the brain."
Jaundice,"Jaundice is a yellow discoloration of the skin and eyes, often indicating liver problems."
Malaria,"Malaria is a mosquito-borne infectious disease affecting humans and other animals."
Chicken pox,"Chicken pox is a highly contagious viral infection causing an itchy rash."
Dengue,"Dengue is a mosquito-borne viral infection causing flu-like symptoms."
Typhoid,"Typhoid is a bacterial infection that can lead to a high fever and gastrointestinal symptoms."
hepatitis A,"hepatitis A is a viral liver disease."
Hepatitis B,"Hepatitis B is a viral infection that attacks the liver."
Hepatitis C,"Hepatitis C is a viral infection that causes liver inflammation."
Hepatitis D,"Hepatitis D is a serious liver disease caused by the hepatitis D virus."
Hepatitis E,"Hepatitis E is a viral infection that causes liver inflammation."
Alcoholic hepatitis,"Alcoholic hepatitis is inflammation of the liver due to alcohol consumption."
Tuberculosis,"Tuberculosis is a bacterial infection that primarily affects the lungs."
Common Cold,"Common Cold is a viral infection of the upper respiratory tract."
Pneumonia,"Pneumonia is an inflammatory condition affecting the air sacs in the lungs."
Dimorphic hemmorhoids(piles),"Dimorphic hemmorhoids(piles) is a condition characterized by swollen blood vessels in the rectum."
Heart attack,"Heart attack is a sudden and severe reduction in blood flow to the heart muscle."
Varicose veins,"Varicose veins are enlarged, twisted veins that usually appear on the legs."
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland doesn't produce enough thyroid hormone."
Hyperthyroidism,"Hyperthyroidism is a condition where the thyroid gland produces too much thyroid hormone."
Hypoglycemia,"Hypoglycemia is a condition characterized by abnormally low blood sugar levels."
Osteoarthristis,"Osteoarthristis is a degenerative joint disease that affects the cartilage in joints."
Arthritis,"Arthritis is inflammation of one or more joints, causing pain and stiffness."
(vertigo) Paroymsal Positional Vertigo,"(Vertigo) Paroxysmal Positional Vertigo is a type of dizziness caused by specific head movements."
Acne,"Acne is a skin condition that occurs when hair follicles become clogged with oil and dead skin cells."
Urinary tract infection,"Urinary tract infection is an infection in any part of the urinary system."
Psoriasis,"Psoriasis is a chronic skin condition characterized by red, itchy, and scaly patches."
Impetigo,"Impetigo is a highly contagious skin infection causing red sores that can break open."
Gout,"Gout is a form of inflammatory arthritis characterized by sudden pain, usually in the joints."
Osteoporosis,"Osteoporosis is a condition where bones become weak and brittle."
Anemia,"Anemia is a condition marked by a deficiency of red blood cells or hemoglobin."
COPD,"Chronic Obstructive Pulmonary Disease is a group of progressive lung diseases that cause breathing difficulty."
Epilepsy,"Epilepsy is a neurological disorder marked by recurrent seizures."
Parkinson's disease,"Parkinson's disease is a progressive nervous system disorder that affects movement and causes tremors."
Alzheimer's disease,"Alzheimer's disease is a progressive neurologic disorder that leads to memory loss and cognitive decline."
Rheumatoid arthritis,"Rheumatoid arthritis is an autoimmune disease that causes inflammation and deformation of the joints."
Stroke,"A stroke occurs when blood flow to a part of the brain is interrupted."
Psoriatic arthritis,"Psoriatic arthritis is an inflammatory arthritis associated with psoriasis."
Endometriosis,"Endometriosis is a painful disorder where tissue similar to the uterine lining grows outside the uterus."
Polycystic ovary syndrome (PCOS),"PCOS is a hormonal disorder common among women of reproductive age."
Chronic kidney disease,"Chronic kidney disease is the gradual loss of kidney function over time."
Glaucoma,"Glaucoma is a group of eye conditions that damage the optic nerve."
Macular degeneration,"Macular degeneration is an age-related condition causing vision loss in the center of the visual field."
Cataract,"A cataract is clouding of the eye's lens leading to decreased vision."
Otitis media,"Otitis media is inflammation or infection in the middle ear."
Eczema,"Eczema is a condition that makes the skin red and itchy."
Influenza,"Influenza is a contagious respiratory illness caused by influenza viruses."
COVID-19,"COVID-19 is an infectious disease caused by the SARS CoV 2 virus."
Mononucleosis,"Mononucleosis is often called 'mono'."
Lyme disease,"Lyme disease is a tick-borne illness caused by Borrelia bacteria."
Meningitis,"Meningitis is inflammation of the protective membranes covering the brain and spinal cord."
Sepsis,"Sepsis is the body's extreme response to infection."
Atherosclerosis,"Atherosclerosis is the buildup of fats in the artery walls."
Arrhythmia,"Arrhythmia is an abnormal heart rhythm that's too fast or too slow."
Angina,"Angina is chest pain caused by reduced blood flow to the heart."
Peripheral artery disease,"Peripheral artery disease is narrowed arteries reducing blood flow to limbs."
Deep vein thrombosis,"Deep vein thrombosis is a blood clot in a deep vein."
Hemophilia,"Hemophilia is a rare bleeding disorder where blood doesn't clot normally."
Sickle cell disease,"Sickle cell disease is a group of inherited red blood cell disorders."
Thalassemia,"Thalassemia is an inherited blood disorder causing abnormal formation of hemoglobin."
Leukemia,"Leukemia is cancer of blood-forming tissues."
Lymphoma,"Lymphoma is cancer of the lymphatic system."
Multiple sclerosis,"Multiple sclerosis is an autoimmune disease affecting the brain and spinal cord."
Amyotrophic lateral sclerosis (ALS),"ALS is a progressive neurodegenerative disease affecting nerve cells in the brain and spine."
Myasthenia gravis,"Myasthenia gravis is a chronic condition causing weakness in the skeletal muscles."
Huntington's disease,"Huntington's disease is an inherited disorder causing nerve degeneration in the brain."
Tubal pregnancy,"Ectopic pregnancy occurs when a fertilized egg implants outside the uterus."
Gestational diabetes,"Gestational diabetes is high blood sugar during pregnancy."
Preeclampsia,"Preeclampsia is a pregnancy complication marked by high blood pressure."
Premenstrual syndrome (PMS),"PMS is a group of symptoms related to menstrual cycle including cramps."
Endometrial cancer,"Endometrial cancer is cancer of the uterus lining."
Breast cancer,"Breast cancer is cancer that forms in the cells of the breasts."
Prostate cancer,"Prostate cancer is cancer in a man's prostate."
Colon cancer,"Colon cancer affects the large intestine."
Lung cancer,"Lung cancer is cancer in lung tissues."
Skin melanoma,"Melanoma is the most serious form of skin cancer caused by pigment-producing cells."
Thyroid cancer,"Thyroid cancer occurs in the thyroid gland at the base of the neck."
Kidney cancer,"Kidney cancer, also known as renal cancer, starts in the kidneys."
Bladder cancer,"Bladder cancer is cancer that begins in the bladder."
Pancreatic cancer,"Pancreatic cancer is a type of cancer that begins in the pancreas."
Liver cancer,"Liver cancer is a type of cancer that starts in the liver."
Esophageal cancer,"Esophageal cancer is cancer that occurs in the esophagus."
Stomach cancer,"Stomach cancer develops in the lining of the stomach."
Ovarian cancer,"Ovarian cancer is cancer that begins in the ovaries."
Cystic fibrosis,"Cystic fibrosis is an inherited disorder that causes severe damage to the lungs and digestive system."
Bronchitis,"Bronchitis is inflammation of the bronchial tubes that carry air to and from the lungs."
Whooping cough,"Whooping cough is a highly contagious respiratory tract infection marked by severe coughing."
Tonsillitis,"Tonsillitis is inflammation of the tonsils caused by viral or bacterial infection."
Sinusitis,"Sinusitis is inflammation of the sinuses resulting in nasal congestion and facial pain."
Laryngitis,"Laryngitis is inflammation of the voice box from overuse or infection."
Scabies,"Scabies is a skin infestation caused by a mite known as Sarcoptes scabiei."
Tetanus,"Tetanus is a serious bacterial infection that causes painful muscle stiffness and lockjaw."
Rabies,"Rabies is a deadly virus spread to people from the saliva of infected animals."
Shingles,"Shingles is a viral infection causing a painful rash."
Zika virus,"Zika virus is a mosquito-borne virus that can cause birth defects during pregnancy."
Ebola,"Ebola is a rare but deadly virus that causes bleeding inside and outside the body."
Marburg virus,"Marburg virus causes severe viral hemorrhagic fever in humans."
Chikungunya,"Chikungunya is a viral disease transmitted by mosquitoes causing fever and joint pain."
Hantavirus,"Hantavirus is a life-threatening disease spread by rodents."
Legionnaires' disease,"Legionnaires' disease is a severe form of pneumonia caused by Legionella bacteria."
Botulism,"Botulism is a rare but serious illness caused by a toxin that attacks the bodyâ€™s nerves."
Toxoplasmosis,"Toxoplasmosis is an infection caused by a parasite found in cat feces or undercooked meat."
Leptospirosis,"Leptospirosis is a bacterial infection that affects humans and animals."
Anthrax,"Anthrax is a rare but serious illness caused by Bacillus anthracis bacteria."
Q fever,"Q fever is a bacterial infection caused by Coxiella burnetii."
Brucellosis,"Brucellosis is a bacterial infection spread from animals to humans."
Cat scratch disease,"Cat scratch disease is a bacterial infection spread by cat scratches or bites."
Filariasis,"Filariasis is a parasitic disease caused by infection with roundworms transmitted by mosquitoes."
Onchocerciasis,"Onchocerciasis or river blindness is caused by a parasitic worm and spread by blackflies."
Ascariasis,"Ascariasis is a parasitic roundworm infection in the intestines."
Trichuriasis,"Trichuriasis is an infection caused by the whipworm parasite in the intestines."
Strongyloidiasis,"Strongyloidiasis is an intestinal infection caused by the parasite Strongyloides stercoralis."
Candidiasis,"Candidiasis is a fungal infection caused by yeasts from the genus Candida."
Histoplasmosis,"Histoplasmosis is a fungal infection from breathing in spores often found in bird droppings."
Blastomycosis,"Blastomycosis is a fungal infection caused by inhaling Blastomyces spores from soil."
Coccidioidomycosis,"Coccidioidomycosis or valley fever is a fungal infection caused by Coccidioides spores."
Tinea corporis,"Tinea corporis (ringworm) is a fungal skin infection that forms a circular rash."
Tinea pedis,"Tinea pedis (athlete's foot) is a fungal infection that affects the feet."
Tinea capitis,"Tinea capitis is a fungal infection of the scalp."
Tinea cruris,"Tinea cruris (jock itch) is a fungal infection in the groin area."
Pediculosis,"Pediculosis is an infestation with lice on the body."
Giardiasis,"Giardiasis is an intestinal infection caused by the Giardia parasite."
Amoebiasis,"Amoebiasis is an infection caused by the Entamoeba histolytica parasite."
Cryptosporidiosis,"Cryptosporidiosis is a diarrheal disease caused by microscopic parasites in water."
Norovirus infection,"Norovirus is a highly contagious virus that causes vomiting and diarrhea."
Rotavirus infection,"Rotavirus infection is a common cause of diarrhea in infants and young children."
Salmonellosis,"Salmonellosis is an infection with Salmonella bacteria."
Shigellosis,"Shigellosis is a bacterial infection that causes diarrhea."
Campylobacteriosis,"Campylobacteriosis is a common bacterial infection causing gastrointestinal illness."
Toxocariasis,"Toxocariasis is a parasitic disease caused by roundworms found in dogs and cats."
Hydatid disease,"Hydatid disease is caused by tapeworm larvae forming cysts in the liver or lungs."
Trichinellosis,"Trichinellosis is caused by eating undercooked meat infected with Trichinella larvae."
Whipple's disease,"Whipple's disease is a rare bacterial infection that affects the small intestine."